,Reference Code,year,Sentence Output,Answer
0,S-0001,," to make out the most of the project, we will consult the clients for the details they need, giving out the optimal solution for both parties.the google adsense service we use to serve advertising uses a doubleclick cookie to serve more relevant ads across the web and limit the number of times that a given ad is shown to you.that is the nameless of the seventh product, not the ordinary seventh product in everyone what happens if you take two extenze pills a day that is the nameless of the seventh product, not the ordinary seventh product in everyone what happens if you take two extenze pills a day ","['optimal solution for both parties', 'google adsense', 'extenze pills']"
1,S-0003,1998," the professional services division includes project managers, consultants, gis specialists, system analysts, developers, trainers and the customer support staff providing full project life - cycle services at competitive rates and rapid turnaround time to facilitate your project progress, resulting in achieving better business goals.",['full project life - cycle services']
2,S-0004,2017,euclideon udsdk allows you to take advantage of euclideon ’ s 3d rendering capabilities and integrate this into your own solution.euclideon pty ltd is committed to providing you with the best possible customer service experience.,"['euclideon udsdk', 'customer service experience']"
3,S-0005,1974,"in 2009 infa was awarded a contract by roadshow media limited as the solution provider for the wireless multi - media on board project.some of our products : 3g mobile boradband solution synchronised we deliver products that are readily available through partnership and alliances, and we design, develop, and integrate niche solution so that we are in competitive position to offer complete solution to our customers.","['wireless multi - media on board', '3g mobile boradband solution synchronised']"
4,S-0006,,"innovation gps ( [UNK] [UNK] [UNK] [UNK] ) interviewed lands department of hong kong government about its services of satref.to further strengthen the product portfolio of strobus, strobus takes up the var right of cat phone.","['satref', 'cat phone']"
5,S-0007,1997,"since 2003, we has provided remote access service, appointment for free access service and instant feedback from our professionals.","['remote access service, appointment for free access service and instant feedback from our professionals']"
6,S-0009,,"throughout the programme, we provide one - stop service – from selecting appropriate solutions for your company, providing assistance in application to managing project process.system corporations & partnerships integration of existing iot solutions or products with location based services technology one - stop service throughout the programme, we provide one - stop service – from selecting appropriate solutions for your company, providing assistance in application to managing project process.system corporations & partnerships integration of existing iot solutions or products with location based services technology one - stop service throughout the programme, we provide one - stop service – from selecting appropriate solutions for your company, providing assistance in application to managing project process.","['one - stop service', 'one - stop service', 'one - stop service']"
7,S-0014,," gender gender female a saas cloud - based ai solution that can connect most video cameras to acquire, evaluate and interpret are they attracted by the promotion products?","['saas cloud - based ai solution', 'promotion']"
8,S-0021,1985," through the exchange of international contacts, project management skills, technical talents, ",['management']
9,S-0022,, solutions. why are we : • friendly interface and easy to use • improve service level features :,"['solutions', 'improve service level features']"
